Flight ID,Airline,Aircraft,Arrival/Departure,Destination,Status,Date-time
NY216,Lufthansa,500,departure,Porto,scheduled,01/11/2020 03:55
AH217,EasyJet,500,departure,Lisbon,scheduled,01/11/2020 04:10	
AG218,United,200,departure,Berlin,scheduled,01/11/2020 04:40
PH220,EasyJet,200,departure,Rome,scheduled,01/11/2020 05:10
AC221,El Al,800,departure,Rome,scheduled,01/11/2020 05:25
AB222,Turkish Airlines,200,departure,London,scheduled,01/11/2020 05:40
QB223,Philippine Airlines,200,departure,Pocket,scheduled,01/11/2020 05:50
PW224,Iberia,500,departure,Athnes,scheduled,01/11/2020 06:00
AG226,Aeroflot,112,departure,Berlin,scheduled,01/11/2020 06:40
AB228,Lufthansa,500,departure,Rome,scheduled,01/11/2020 06:50
BB229,Iberia,200,departure,Larnaca,scheduled,01/11/2020 07:00
AB230,Turkish Airlines,200,departure,Rome,scheduled,01/11/2020 07:20
AA233,El Al,200,departure,New York,scheduled,01/11/2020 08:10
CB234,Delta Air Lines,500,departure,Rome,scheduled,01/11/2020 08:20
TT235,El Al,200,departure,London,scheduled,01/11/2020 08:40
GB236,SkyUp,800,departure,Oslo,scheduled,01/11/2020 08:50
AH238,El Al,800,departure,London,scheduled,01/11/2020 09:15
RB240,WestJet,500,departure,Milan,scheduled,01/11/2020 09:45
NY241,United,800,departure,Cancun,scheduled,01/11/2020 10:10
YP242,El Al,200,departure,Athnes,scheduled,01/11/2020 10:20
AB243,British Airways,200,departure,Rome,scheduled,01/11/2020 10:40
RB244,Sky Airline,200,departure,Rome,scheduled,01/11/2020 10:50
PE245,Iberia,800,departure,Cancun,scheduled,01/11/2020 11:00
LA248,EasyJet,200,departure,Rome,scheduled,01/11/2020 12:30 
AA249,British Airways,200,departure,London,scheduled,01/11/2020 12:40
AB250,Lufthansa,200,departure,Antalya,scheduled,01/11/2020 12:50
CB251,Iberia,500,departure,Rome,scheduled,01/11/2020 13:00
AA253,Austrian,200,departure,Oslo,scheduled,01/11/2020 13:40
VB254,Lufthansa,200,departure,Paris,scheduled,01/11/2020 13:55
BC255,Iberia,500,departure,Berlin,scheduled,01/11/2020 14:15
AB256,Iberia,200,departure,Porto,scheduled,01/11/2020 14:20
NY258,Turkish Airlines,200,departure,Antalya,scheduled,01/11/2020 14:45
AF260,Turkish Airlines,500,departure,Barcelona,scheduled,01/11/2020 15:16
TT261,SkyUp,500,departure,Paris,scheduled,01/11/2020 15:50
NM262,EasyJet,200,departure,Sofia,scheduled,01/11/2020 16:10
FA263,Turkish Airlines,800,departure,New York,scheduled,01/11/2020 16:20
AB265,Delta Air Lines,500,departure,Berlin,scheduled,01/11/2020 16:50
RH267,EasyJet,200,departure,Porto,scheduled,01/11/2020 17:05
RB268,Austrian,500,departure,Rome,scheduled,01/11/2020 17:15
NY269,United,800,departure,Cancun,scheduled,01/11/2020 17:25
YP270,El Al,200,departure,Barcelona,scheduled,01/11/2020 17:55
AB271,Turkish Airlines,200,departure,Pocket,scheduled,01/11/2020 18:10
RB272,Lufthansa,200,departure,London,scheduled,01/11/2020 18:20
TA274,SkyUp,200,departure,New York,scheduled,01/11/2020 18:30
AA275,Air France,200,departure,Larnaca,scheduled,01/11/2020 18:45
VB276,Lufthansa,200,departure,Rome,scheduled,01/11/2020 18:55
AB278,EasyJet,200,departure,Paris,scheduled,01/11/2020 19:20
TT279,SkyUp,500,departure,Athnes,scheduled,01/11/2020 19:50
NM280,EasyJet,200,departure,Prague,scheduled,01/11/2020 20:10
FA281,Delta Air Lines,800,departure,New York,scheduled,01/11/2020 20:20
CB282,Skywest Airlines,500,departure,London,scheduled,01/11/2020 20:40
RH285,EasyJet,200,departure,Madrid,scheduled,01/11/2020 21:45
RB286,Lufthansa,500,departure,Rome,scheduled,01/11/2020 22:00
NY287,United,800,departure,California,scheduled,01/11/2020 22:10
AB289,Air France,200,departure,Lisbon,scheduled,01/11/2020 22:30
AB291,Skywest Airlines,200,departure,Rome,scheduled,01/11/2020 22:55	
DB292,Sky Airline,800,departure,London,scheduled,01/11/2020 23:10		
YY293,El Al,800,departure,Rome,scheduled,01/11/2020 23:15		
AK294,United,800,departure,Vienna,scheduled,01/11/2020 23:25		
NY297,Lufthansa,500,departure,Sofia,scheduled,01/11/2020 23:40			
